Fiscal revenue(yi),Population size(ten thousand),Quantity of Surviving Enterprises(ten thousand),Average wage of employees on duty/(Yuan/month),GDP/(Billion),
7108.1,2419.7,154.4,10015,32679,100
3535,1190.84,174.1,9561,24691,72.3
5785.9,2172.9,118.3,10670,30320,91.8
8098.63,1404.35,89.6,8281,23000,66.4
2265.5,683.07,69.8,7367,20363,57.2
1424.2,1194.05,60.6,7367,15342,39.8
1470,827,55.8,7825,12820,31
1825.1,787.5,48.7,8798,13500,33.4
2120,1068.4,53.6,7723,18597,51.1
2162.65,1562.12,43.7,6622,18809,51.8
1231.9,920.4,41,6591,12561,30.1
649.91,826.1,43.4,7723,8300,15.3
1152.1,972.4,43.1,6704,10200,21.9
1528,1091.4,39.8,7082,14847,38.1
684.71,922.32,37.5,6381,8349,15.5
1379.7,787.5,31.1,7680,10745,23.8
927.3,731.15,28.5,6988,11527,26.5
720.6,752,21.8,5901,6350,8.6
595.6,667,23.5,7053,5350,5.1
373.23,425.63,21.6,4531,3884,0
792.08,1092.9,20.2,6504,6300,8.4
1076.3,1087.99,21.8,5690,6082,7.6
1277.01,774,38.2,6931,7857,13.8
128.8,524.02,20.6,5835,5500,5.6
