7108.1,2419.7,154.4,10015,32679,2.647
3535,1190.84,174.1,9561,24691,1.529
5785.9,2172.9,118.3,10670,30320,2.238
8098.63,1404.35,89.6,8281,23000,1.407
2265.5,683.07,69.8,7367,20363,0.152
1424.2,1194.05,60.6,7367,15342,0.098
1470,827,55.8,7825,12820,-0.09
1825.1,787.5,48.7,8798,13500,0.06
2120,1068.4,53.6,7723,18597,0.226
2162.65,1562.12,43.7,6622,18809,0.236
1231.9,920.4,41,6591,12561,-0.348
649.91,826.1,43.4,7723,8300,-0.389
1152.1,972.4,43.1,6704,10200,-0.374
1528,1091.4,39.8,7082,14847,-0.106
684.71,922.32,37.5,6381,8349,-0.578
1379.7,787.5,31.1,7680,10745,-0.332
927.3,731.15,28.5,6988,11527,-0.501
720.6,752,21.8,5901,6350,-0.865
595.6,667,23.5,7053,5350,-0.76
373.23,425.63,21.6,4531,3884,-1.329
792.08,1092.9,20.2,6504,6300,-0.623
1076.3,1087.99,21.8,5690,6082,-0.718
1277.01,774,38.2,6931,7857,-0.508
128.8,524.02,20.6,5835,5500,-1.07
